game_id	batter	local_date	rolling_avg
12560	430945	2011-04-07 19:05:00	0.0000
12560	408234	2011-04-07 19:05:00	0.0000
12560	400121	2011-04-07 19:05:00	0.0000
12560	406878	2011-04-07 19:05:00	0.2500
12560	448602	2011-04-07 19:05:00	0.0000
12560	446308	2011-04-07 19:05:00	0.6667
12560	453269	2011-04-07 19:05:00	0.2500
12560	455976	2011-04-07 19:05:00	0.7500
12560	457706	2011-04-07 19:05:00	0.2500
12560	488671	2011-04-07 19:05:00	0.0000
12560	489242	2011-04-07 19:05:00	0.6667
12560	406878	2011-04-06 19:05:00	0.2500
12560	400121	2011-04-06 19:05:00	0.0000
12560	425509	2011-04-06 19:05:00	0.2500
12560	276346	2011-04-06 19:05:00	0.2500
12560	408234	2011-04-06 19:05:00	0.0000
12560	429712	2011-04-06 19:05:00	0.3333
12560	429666	2011-04-06 19:05:00	0.3333
12560	430945	2011-04-06 19:05:00	0.0000
12560	448602	2011-04-06 19:05:00	0.0000
12560	446308	2011-04-06 19:05:00	0.6667
12560	457706	2011-04-06 19:05:00	0.2500
12560	488671	2011-04-06 19:05:00	0.0000
12560	489242	2011-04-06 19:05:00	0.6667
12560	453269	2011-04-06 19:05:00	0.2500
12560	455976	2011-04-06 19:05:00	0.7500
12560	117601	2011-04-06 19:05:00	0.3333
12560	120044	2011-04-06 19:05:00	0.2500
12560	115223	2011-04-06 19:05:00	0.0000
